unique_number,id_no,name_en,short_description_en,date_inscribed,danger_list,longitude,latitude,area_hectares,category,states_name_en,name_en,iso_code,udnp_code,transboundary
962,814,Morne Trois Pitons National Park,"<p>Luxuriant natural tropical forest blends with scenic volcanic features of great scientific interest in this national park centred on the 1,342-m-high volcano known as Morne Trois Pitons. With its precipitous slopes and deeply incised valleys, 50 fumaroles, hot springs, three freshwater lakes, a 'boiling lake' and five volcanoes, located on the park's nearly 7,000 ha, together with the richest biodiversity in the Lesser Antilles, Morne Trois Pitons National Park presents a rare combination of natural features of World Heritage value.</p>",1997,,-61.2833333300,15.2666666700,6857.0000,Natural,Dominica,Latin America and the Caribbean,dm,dma,0
5,2,City of Quito,"<p>Quito, the capital of Ecuador, was founded in the 16th century on the ruins of an Inca city and stands at an altitude of 2,850 m. Despite the 1917 earthquake, the city has the best-preserved, least altered historic centre in Latin America. The monasteries of San Francisco and Santo Domingo, and the Church and Jesuit College of La Compa&ntilde;&iacute;a, with their rich interiors, are pure examples of the 'Baroque school of Quito', which is a fusion of Spanish, Italian, Moorish, Flemish and indigenous art.</p>",1978,,-78.5000000000,-0.0038888890,320.0000,Cultural,Ecuador,Latin America and the Caribbean,ec,ecu,0
1014,863,Historic Centre of Santa Ana de los Ríos de Cuenca,"<p>Santa Ana de los R&iacute;os de Cuenca is set in a valley surrounded by the Andean mountains in the south of Ecuador. This inland colonial town (<em>entroterra</em> ), now the country's third city, was founded in 1557 on the rigorous planning guidelines issued 30 years earlier by the Spanish king Charles V. Cuenca still observes the formal orthogonal town plan that it has respected for 400 years. One of the region's agricultural and administrative centres, it has been a melting pot for local and immigrant populations. Cuenca's architecture, much of which dates from the 18th century, was 'modernized' in the economic prosperity of the 19th century as the city became a major exporter of quinine, straw hats and other products.</p>",1999,,-78.9833333300,-2.8833333330,224.1400,Cultural,Ecuador,Latin America and the Caribbean,ec,ecu,0
92,86,Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,"<p>The capital of the Old Kingdom of Egypt has some extraordinary funerary monuments, including rock tombs, ornate mastabas, temples and pyramids. In ancient times, the site was considered one of the Seven Wonders of the World.</p>",1979,,31.1304100000,29.9760400000,16358.5200,Cultural,Egypt,Arab States,eg,egy,0
93,87,Ancient Thebes with its Necropolis,"<p>Thebes, the city of the god Amon, was the capital of Egypt during the period of the Middle and New Kingdoms. With the temples and palaces at Karnak and Luxor, and the necropolises of the Valley of the Kings and the Valley of the Queens, Thebes is a striking testimony to Egyptian civilization at its height.</p>",1979,,32.6000000000,25.7333300000,7390.1600,Cultural,Egypt,Arab States,eg,egy,0
94,88,Nubian Monuments from Abu Simbel to Philae,"<p>This outstanding archaeological area contains such magnificent monuments as the Temples of Ramses II at Abu Simbel and the Sanctuary of Isis at Philae, which were saved from the rising waters of the Nile thanks to the International Campaign launched by UNESCO, in 1960 to 1980.</p>",1979,,31.6261100000,22.3363900000,374.4800,Cultural,Egypt,Arab States,eg,egy,0
95,89,Historic Cairo,"<p>Tucked away amid the modern urban area of Cairo lies one of the world's oldest Islamic cities, with its famous mosques, <em>madrasas, hammams</em> and fountains. Founded in the 10th century, it became the new centre of the Islamic world, reaching its golden age in the 14th century.</p>",1979,,31.2611100000,30.0500000000,523.6600,Cultural,Egypt,Arab States,eg,egy,0
96,90,Abu Mena,"<p>The church, baptistry, basilicas, public buildings, streets, monasteries, houses and workshops in this early Christian holy city were built over the tomb of the martyr Menas of Alexandria, who died in A.D. 296.</p>",1979,Y 2001,29.6666666700,30.8500000000,182.7200,Cultural,Egypt,Arab States,eg,egy,0
1116,954,Saint Catherine Area,"<p>The Orthodox Monastery of St Catherine stands at the foot of Mount Horeb where, the Old Testament records, Moses received the Tablets of the Law. The mountain is known and revered by Muslims as Jebel Musa. The entire area is sacred to three world religions: Christianity, Islam, and Judaism. The Monastery, founded in the 6th century, is the oldest Christian monastery still in use for its initial function. Its walls and buildings of great significace to studies of Byzantine architecture and the Monastery houses outstanding collections of early Christian manuscripts and icons. The rugged mountainous landscape, containing numerous archaeological and religious sites and monuments, forms a perfect backdrop to the Monastery.</p>",2002,,33.9754300000,28.5562300000,60100.0000,Cultural,Egypt,Arab States,eg,egy,0
799,675,Joya de Cerén Archaeological Site,"<p>Joya de Cer&eacute;n was a pre-Hispanic farming community that, like Pompeii and Herculaneum in Italy, was buried under an eruption of the Laguna Caldera volcano c. AD 600. Because of the exceptional condition of the remains, they provide an insight into the daily lives of the Central American populations who worked the land at that time.</p>",1993,,-89.3691666700,13.8275000000,3200.0000,Cultural,El Salvador,Latin America and the Caribbean,sv,slv,0
1626,822,Historic Centre (Old Town) of Tallinn,"<p>The origins of Tallinn date back to the 13th century, when a castle was built there by the crusading knights of the Teutonic Order. It developed as a major centre of the Hanseatic League, and its wealth is demonstrated by the opulence of the public buildings (the churches in particular) and the domestic architecture of the merchants' houses, which have survived to a remarkable degree despite the ravages of fire and war in the intervening centuries.</p>",1997,,24.7333333300,59.4333300000,113.0000,Cultural,Estonia,Europe and North America,ee,est,0
12,9,Simien National Park,"<p>Massive erosion over the years on the Ethiopian plateau has created one of the most spectacular landscapes in the world, with jagged mountain peaks, deep valleys and sharp precipices dropping some 1,500 m. The park is home to some extremely rare animals such as the Gelada baboon, the Simien fox and the Walia ibex, a goat found nowhere else in the world.</p>",1978,Y 1996,38.0666666667,13.1833333333,13600.0000,Natural,Ethiopia,Africa,et,eth,0
13,10,Lower Valley of the Awash,"<p>The Awash valley contains one of the most important groupings of palaeontological sites on the African continent. The remains found at the site, the oldest of which date back at least 4 million years, provide evidence of human evolution which has modified our conception of the history of humankind. The most spectacular discovery came in 1974, when 52 fragments of a skeleton enabled the famous Lucy to be reconstructed.</p>",1980,,40.5793900000,11.1000600000,0.0000,Cultural,Ethiopia,Africa,et,eth,0
15,12,Tiya,"<p>Tiya is among the most important of the roughly 160 archaeological sites discovered so far in the Soddo region, south of Addis Ababa. The site contains 36 monuments, including 32 carved stelae covered with symbols, most of which are difficult to decipher. They are the remains of an ancient Ethiopian culture whose age has not yet been precisely determined.</p>",1980,,38.6121000000,8.4349100000,0.0000,Cultural,Ethiopia,Africa,et,eth,0
18,15,Aksum,"<p>The ruins of the ancient city of Aksum are found close to Ethiopia's northern border. They mark the location of the heart of ancient Ethiopia, when the Kingdom of Aksum was the most powerful state between the Eastern Roman Empire and Persia. The massive ruins, dating from between the 1st and the 13th century A.D., include monolithic obelisks, giant stelae, royal tombs and the ruins of ancient castles. Long after its political decline in the 10th century, Ethiopian emperors continued to be crowned in Aksum.</p>",1980,,38.7186100000,14.1301900000,0.0000,Cultural,Ethiopia,Africa,et,eth,0
20,17,Lower Valley of the Omo,"<p>A prehistoric site near Lake Turkana, the lower valley of the Omo is renowned the world over. The discovery of many fossils there, especially <em>Homo gracilis</em>, has been of fundamental importance in the study of human evolution.</p>",1980,,35.9666666700,4.8000000000,0.0000,Cultural,Ethiopia,Africa,et,eth,0
21,18,"Rock-Hewn Churches, Lalibela","<p>The 11 medieval monolithic cave churches of this 13th-century 'New Jerusalem' are situated in a mountainous region in the heart of Ethiopia near a traditional village with circular-shaped dwellings. Lalibela is a high place of Ethiopian Christianity, still today a place of pilmigrage and devotion.</p>",1978,,39.0404200000,12.0293500000,0.0000,Cultural,Ethiopia,Africa,et,eth,0
22,19,"Fasil Ghebbi, Gondar Region","<p>In the 16th and 17th centuries, the fortress-city of Fasil Ghebbi was the residence of the Ethiopian emperor Fasilides and his successors. Surrounded by a 900-m-long wall, the city contains palaces, churches, monasteries and unique public and private buildings marked by Hindu and Arab influences, subsequently transformed by the Baroque style brought to Gondar by the Jesuit missionaries.</p>",1979,,37.4661700000,12.6069200000,0.0000,Cultural,Ethiopia,Africa,et,eth,0
1452,1189,"Harar Jugol, the Fortified Historic Town","<p>The fortified historic town of Harar is located in the eastern part of the country on a plateau with deep gorges surrounded by deserts and savannah. The walls surrounding this sacred Muslim city were built between the 13th and 16th centuries. Harar Jugol, said to be the fourth holiest city of Islam, numbers 82 mosques, three of which date from the 10th century, and 102 shrines, but the townhouses with their exceptional interior design constitute the most spectacular part of Harar's cultural heritage. The impact of African and Islamic traditions on the development of the town's building types and urban layout make for its particular character and uniqueness.</p>",2006,,42.1377777777,9.3088888888,48.0000,Cultural,Ethiopia,Africa,et,eth,0
1846,1333,Konso Cultural Landscape,"<p>Konso Cultural Landscape is a 55km2 arid property of stone walled terraces and fortified settlements in the Konso highlands of Ethiopia. It constitutes a spectacular example of a living cultural tradition stretching back 21 generations (more than 400 years) adapted to its dry hostile environment. The landscape demonstrates the shared values, social cohesion and engineering knowledge of its communities. The site also features anthropomorphic wooden statues - grouped to represent respected members of their communities and particularly heroic events - which are an exceptional living testimony to funerary traditions that are on the verge of disappearing. Stone steles in the towns express a complex system of marking the passing of generations of leaders.</p>",2011,,37.4000000000,5.3000000000,23000.0000,Cultural,Ethiopia,Africa,et,eth,0
1886,1399,Levuka Historical Port Town,"<p>The town and its low line of buildings set among coconut and mango trees along the beach front was the first colonial capital of Fiji, ceded to the British in 1874. It developed from the early 19th century as a centre of commercial activity by Americans and Europeans who built warehouses, stores, port facilities, residences, and religious, educational and social institutions around the villages of the South Pacific island&rsquo;s indigenous population. It is a rare example of a late colonial port town that was influenced in its development by the indigenous community which continued to outnumber the European settlers. Thus the town, an outstanding example of late 19th century Pacific port settlements, reflects the integration of local building traditions by a supreme naval power, leading to the emergence of a unique landscape.</p>",2013,,178.8345333333,-17.6833777778,69.6000,Cultural,Fiji,Asia and the Pacific,fj,fji,0
686,579,Bronze Age Burial Site of Sammallahdenmäki,"<p>This Bronze Age burial site features more than 30 granite burial cairns, providing a unique insight into the funerary practices and social and religious structures of northern Europe more than three millennia ago.</p>",1999,,21.7775000000,61.1205600000,0.0000,Cultural,Finland,Europe and North America,fi,fin,0
1718,582,Old Rauma,"<p>Situated on the Gulf of Botnia, Rauma is one of the oldest harbours in Finland. Built around a Franciscan monastery, where the mid-15th-century Holy Cross Church still stands, it is an outstanding example of an old Nordic city constructed in wood. Although ravaged by fire in the late 17th century, it has preserved its ancient vernacular architectural heritage.</p>",1991,,21.5116700000,61.1280600000,29.0000,Cultural,Finland,Europe and North America,fi,fin,0
1569,80,Mont-Saint-Michel and its Bay,"<p>Perched on a rocky islet in the midst of vast sandbanks exposed to powerful tides between Normandy and Brittany stand the 'Wonder of the West', a Gothic-style Benedictine abbey dedicated to the archangel St Michael, and the village that grew up in the shadow of its great walls. Built between the 11th and 16th centuries, the abbey is a technical and artistic <em>tour de force</em>, having had to adapt to the problems posed by this unique natural site.</p>",1979,,-1.5105600000,48.6355600000,6560.0000,Cultural,France,Europe and North America,fr,fra,0
1719,81,Chartres Cathedral,"<p>Partly built starting in 1145, and then reconstructed over a 26-year period after the fire of 1194, Chartres Cathedral marks the high point of French Gothic art. The vast nave, in pure ogival style, the porches adorned with fine sculptures from the middle of the 12th century, and the magnificent 12th- and 13th-century stained-glass windows, all in remarkable condition, combine to make it a masterpiece.</p>",1979,,1.4872222220,48.4475000000,1.0600,Cultural,France,Europe and North America,fr,fra,0
1571,83,Palace and Park of Versailles,"<p>The Palace of Versailles was the principal residence of the French kings from the time of Louis XIV to Louis XVI. Embellished by several generations of architects, sculptors, decorators and landscape architects, it provided Europe with a model of the ideal royal residence for over a century.</p>",1979,,2.1194444440,48.8050000000,1070.0000,Cultural,France,Europe and North America,fr,fra,0
1572,84,"Vézelay, Church and Hill","<p>Shortly after its foundation in the 9th century, the Benedictine abbey of V&eacute;zelay acquired the relics of St Mary Magdalene and since then it has been an important place of pilgrimage. St Bernard preached the Second Crusade there in 1146 and Richard the Lion-Hearted and Philip II Augustus met there to leave for the Third Crusade in 1190. With its sculpted capitals and portal, the Madeleine of V&eacute;zelay &ndash; a 12th-century monastic church &ndash; is a masterpiece of Burgundian Romanesque art and architecture.</p>",1979,,3.7483333330,47.4663888900,183.0000,Cultural,France,Europe and North America,fr,fra,0
91,85,Prehistoric Sites and Decorated Caves of the Vézère Valley,"<p>The V&eacute;z&egrave;re valley contains 147 prehistoric sites dating from the Palaeolithic and 25 decorated caves. It is particularly interesting from an ethnological and anthropological, as well as an aesthetic point of view because of its cave paintings, especially those of the Lascaux Cave, whose discovery in 1940 was of great importance for the history of prehistoric art. The hunting scenes show some 100 animal figures, which are remarkable for their detail, rich colours and lifelike quality.</p>",1979,,1.1700000000,45.0575000000,0.0000,Cultural,France,Europe and North America,fr,fra,0
178,160,Palace and Park of Fontainebleau,"<p>Used by the kings of France from the 12th century, the medieval royal hunting lodge of Fontainebleau, standing at the heart of a vast forest in the Ile-de-France, was transformed, enlarged and embellished in the 16th century by Fran&ccedil;ois I, who wanted to make a 'New Rome' of it. Surrounded by an immense park, the Italianate palace combines Renaissance and French artistic traditions.</p>",1981,,2.6980555560,48.4019444400,144.0000,Cultural,France,Europe and North America,fr,fra,0
180,162,Amiens Cathedral,"<p>Amiens Cathedral, in the heart of Picardy, is one of the largest 'classic' Gothic churches of the 13th century. It is notable for the coherence of its plan, the beauty of its three-tier interior elevation and the particularly fine display of sculptures on the principal facade and in the south transept.</p>",1981,,2.3016666670,49.8950000000,1.3700,Cultural,France,Europe and North America,fr,fra,0
1568,163,"Roman Theatre and its Surroundings and the ""Triumphal Arch"" of Orange","<p>Situated in the Rhone valley, the ancient theatre of Orange, with its 103-m-long facade, is one of the best preserved of all the great Roman theatres. Built between A.D. 10 and 25, the Roman arch is one of the most beautiful and interesting surviving examples of a provincial triumphal arch from the reign of Augustus. It is decorated with low reliefs commemorating the establishment of the Pax Romana.</p>",1981,,4.8084166670,44.1357222200,9.4500,Cultural,France,Europe and North America,fr,fra,0
182,164,"Arles, Roman and Romanesque Monuments","<p>Arles is a good example of the adaptation of an ancient city to medieval European civilization. It has some impressive Roman monuments, of which the earliest &ndash; the arena, the Roman theatre and the cryptoporticus (subterranean galleries) &ndash; date back to the 1st century B.C. During the 4th century Arles experienced a second golden age, as attested by the baths of Constantine and the necropolis of Alyscamps. In the 11th and 12th centuries, Arles once again became one of the most attractive cities in the Mediterranean. Within the city walls, Saint-Trophime, with its cloister, is one of Provence's major Romanesque monuments.</p>",1981,,4.6306944440,43.6776388900,65.0000,Cultural,France,Europe and North America,fr,fra,0
1565,165,Cistercian Abbey of Fontenay,"This stark Burgundian monastery was founded by St Bernard in 1119. With its church, cloister, refectory, sleeping quarters, bakery and ironworks, it is an excellent illustration of the ideal of self-sufficiency as practised by the earliest communities of Cistercian monks.",1981,,4.3891100000,47.6394400000,5.7700,Cultural,France,Europe and North America,fr,fra,0
1637,203,"From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt ","<p>The Royal Saltworks of Arc-et-Senans, near Besan&ccedil;on, was built by Claude Nicolas Ledoux. Its construction, begun in 1775 during the reign of Louis XVI, was the first major achievement of industrial architecture, reflecting the ideal of progress of the Enlightenment. The vast, semicircular complex was designed to permit a rational and hierarchical organization of work and was to have been followed by the building of an ideal city, a project that was never realized.</p>
<p>The Great Saltworks of Salins-les-Bains was active for at least 1200 years until stopping activity in 1962. From 1780 to 1895, its salt water travelled through 21 km of wood pipes to the Royal Saltworks of Arc-et-Senans. It was built near the immense Chaux Forest to ensure its supply of wood for fuel. The Saltworks of Salins shelters an underground gallery from the 13<sup>th</sup> century including a hydraulic pump from the 19<sup>th</sup> century that still functions. The boiler house demonstrates the difficulty of the saltworkers&rsquo; labour to collect the &ldquo;White Gold&rdquo;.</p>",1982,,5.8763888889,46.9375000000,10.4800,Cultural,France,Europe and North America,fr,fra,0
254,228,"Historic Centre of Avignon: Papal Palace, Episcopal Ensemble and Avignon Bridge","<p>In the 14th century, this city in the South of France was the seat of the papacy. The Palais des Papes, an austere-looking fortress lavishly decorated by Simone Martini and Matteo Giovanetti, dominates the city, the surrounding ramparts and the remains of a 12th-century bridge over the Rhone. Beneath this outstanding example of Gothic architecture, the Petit Palais and the Romanesque Cathedral of Notre-Dame-des-Doms complete an exceptional group of monuments that testify to the leading role played by Avignon in 14th-century Christian Europe.</p>",1995,,4.8061111110,43.9527777800,8.2000,Cultural,France,Europe and North America,fr,fra,0
255,229,"Place Stanislas, Place de la Carrière and Place d'Alliance in Nancy","<p>Nancy, the temporary residence of a king without a kingdom &ndash; Stanislas Leszczynski, later to become Duke of Lorraine &ndash; is paradoxically the oldest and most typical example of a modern capital where an enlightened monarch proved to be sensitive to the needs of the public. Built between 1752 and 1756 by a brilliant team led by the architect H&eacute;r&eacute;, this was a carefully conceived project that succeeded in creating a capital that not only enhanced the sovereign's prestige but was also functional.</p>",1983,,6.1833333330,48.6936111100,0.0000,Cultural,France,Europe and North America,fr,fra,0
1567,230,Abbey Church of Saint-Savin sur Gartempe,"<p>Known as the 'Romanesque Sistine Chapel', the Abbey-Church of Saint-Savin contains many beautiful 11th- and 12th-century murals which are still in a remarkable state of preservation.</p>",1983,,0.8661100000,46.5647200000,0.1584,Cultural,France,Europe and North America,fr,fra,0
288,258,"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve","<p>The nature reserve, which is part of the Regional Natural Park of Corsica, occupies the Scandola peninsula, an impressive, porphyritic rock mass. The vegetation is an outstanding example of scrubland. Seagulls, cormorants and sea eagles can be found there. The clear waters, with their islets and inaccessible caves, host a rich marine life.</p>",1983,,8.6288333330,42.3251944400,11800.0000,Natural,France,Europe and North America,fr,fra,0
1566,344,Pont du Gard (Roman Aqueduct),"The Pont du Gard was built shortly before the Christian era to allow the aqueduct of Nîmes (which is almost 50 km long) to cross the Gard river. The Roman architects and hydraulic engineers who designed this bridge, which stands almost 50 m high and is on three levels – the longest measuring 275 m – created a technical as well as an artistic masterpiece.",1985,,4.5352777780,43.9472222200,0.3257,Cultural,France,Europe and North America,fr,fra,0
393,345,Historic Fortified City of Carcassonne,"<p>Since the pre-Roman period, a fortified settlement has existed on the hill where Carcassonne now stands. In its present form it is an outstanding example of a medieval fortified town, with its massive defences encircling the castle and the surrounding buildings, its streets and its fine Gothic cathedral. Carcassonne is also of exceptional importance because of the lengthy restoration campaign undertaken by Viollet-le-Duc, one of the founders of the modern science of conservation.</p>",1997,,2.3588888890,43.2105555600,11.0000,Cultural,France,Europe and North America,fr,fra,0
577,495,Strasbourg – Grande île,"<p>Surrounded by two arms of the River Ill, the Grande Ile (Big Island) is the historic centre of the Alsatian capital. It has an outstanding complex of monuments within a fairly small area. The cathedral, the four ancient churches and the Palais Rohan &ndash; former residence of the prince-bishops &ndash; far from appearing as isolated monuments, form a district that is characteristic of a medieval town and illustrates Strasbourg's evolution from the 15th to the 18th century.</p>",1988,,7.7300000000,48.5813888900,94.0000,Cultural,France,Europe and North America,fr,fra,0
710,600,"Paris, Banks of the Seine","<p>From the Louvre to the Eiffel Tower, from the Place de la Concorde to the Grand and Petit Palais, the evolution of Paris and its history can be seen from the River Seine. The Cathedral of Notre-Dame and the Sainte Chapelle are architectural masterpieces while Haussmann's wide squares and boulevards influenced late 19th- and 20th-century town planning the world over.</p>",1991,,2.2941666670,48.8583333300,365.0000,Cultural,France,Europe and North America,fr,fra,0
711,601,"Cathedral of Notre-Dame, Former Abbey of Saint-Rémi and Palace of Tau, Reims","<p>The outstanding handling of new architectural techniques in the 13th century, and the harmonious marriage of sculptural decoration with architecture, has made Notre-Dame in Reims one of the masterpieces of Gothic art. The former abbey still has its beautiful 9th-century nave, in which lie the remains of Archbishop St R&eacute;mi (440&ndash;533), who instituted the Holy Anointing of the kings of France. The former archiepiscopal palace known as the Tau Palace, which played an important role in religious ceremonies, was almost entirely rebuilt in the 17th century.</p>",1991,,4.0327777780,49.2533333300,4.1600,Cultural,France,Europe and North America,fr,fra,0
755,635,Bourges Cathedral,"<p>The Cathedral of St Etienne of Bourges, built between the late 12th and late 13th centuries, is one of the great masterpieces of Gothic art and is admired for its proportions and the unity of its design. The tympanum, sculptures and stained-glass windows are particularly striking. Apart from the beauty of the architecture, it attests to the power of Christianity in medieval France.</p>",1992,,2.3983333330,47.0822222200,0.8500,Cultural,France,Europe and North America,fr,fra,0
910,770,Canal du Midi,"<p>This 360-km network of navigable waterways linking the Mediterranean and the Atlantic through 328 structures (locks, aqueducts, bridges, tunnels, etc.) is one of the most remarkable feats of civil engineering in modern times. Built between 1667 and 1694, it paved the way for the Industrial Revolution. The care that its creator, Pierre-Paul Riquet, took in the design and the way it blends with its surroundings turned a technical achievement into a work of art.</p>",1996,,1.4163888890,43.6113888900,1172.0000,Cultural,France,Europe and North America,fr,fra,0
1019,868,Routes of Santiago de Compostela in France,"<p>Santiago de Compostela was the supreme goal for countless thousands of pious pilgrims who converged there from all over Europe throughout the Middle Ages. To reach Spain pilgrims had to pass through France, and the group of important historical monuments included in this inscription marks out the four routes by which they did so.</p>",1998,,0.7229444440,45.1840555600,0.0000,Cultural,France,Europe and North America,fr,fra,0
1023,872,Historic Site of Lyons,"<p>The long history of Lyons, which was founded by the Romans in the 1st century B.C. as the capital of the Three Gauls and has continued to play a major role in Europe's political, cultural and economic development ever since, is vividly illustrated by its urban fabric and the many fine historic buildings from all periods.</p>",1998,,4.8333300000,45.7672200000,427.0000,Cultural,France,Europe and North America,fr,fra,0
1025,873,"Provins, Town of Medieval Fairs","<p>The fortified medieval town of Provins is situated in the former territory of the powerful Counts of Champagne. It bears witness to early developments in the organization of international trading fairs and the wool industry. The urban structure of Provins, which was built specifically to host the fairs and related activities, has been well preserved.</p>",2001,,3.2988888890,48.5597222200,108.0000,Cultural,France,Europe and North America,fr,fra,0
1088,932,Jurisdiction of Saint-Emilion,"<p>Viticulture was introduced to this fertile region of Aquitaine by the Romans, and intensified in the Middle Ages. The Saint-Emilion area benefited from its location on the pilgrimage route to Santiago de Compostela and many churches, monasteries and hospices were built there from the 11th century onwards. It was granted the special status of a 'jurisdiction' during the period of English rule in the 12th century. It is an exceptional landscape devoted entirely to wine-growing, with many fine historic monuments in its towns and villages.</p>",1999,,-0.1552777780,44.8947222200,7847.0000,Cultural,France,Europe and North America,fr,fra,0
1089,933,The Loire Valley between Sully-sur-Loire and Chalonnes,"<p>The Loire Valley is an outstanding cultural landscape of great beauty, containing historic towns and villages, great architectural monuments (the ch&acirc;teaux), and cultivated lands formed by many centuries of interaction between their population and the physical environment, primarily the river Loire itself.</p>",2000,,0.7027800000,47.3988900000,85394.0000,Cultural,France,Europe and North America,fr,fra,0
1531,1115,Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,"<p>This serial site comprises six marine clusters that represent the main diversity of coral reefs and associated ecosystems in the French Pacific Ocean archipelago of New Caledonia and one of the three most extensive reef systems in the world. These Lagoons are of exceptional natural beauty. They feature an exceptional diversity of coral and fish species and a continuum of habitats from mangroves to seagrasses with the world&rsquo;s most diverse concentration of reef structures. The Lagoons of New Caledonia display intact ecosystems, with healthy populations of large predators, and a great number and diversity of big fish. They provide habitat to a number of emblematic or threatened marine species such as turtles, whales or dugongs whose population here is the third largest in the world.</p>",2008,,164.5663888889,-20.4119444444,1574300.0000,Natural,France,Europe and North America,fr,fra,0
1848,1153,"The Causses and the Cévennes, Mediterranean agro-pastoral Cultural Landscape","<p>This 302,319 ha property, in the southern part of central France, is a mountain landscape interspersed by deep valleys that is representative of the relationship between agro-pastoral systems and their biophysical environment, notably through drailles or drove roads. Villages and substantial stone farmhouses on deep terraces of the Causses reflect the organization of large abbeys from the 11th century. Mont Loz&egrave;re, inside the property, is one of the last places where summer transhumance is still practiced in the traditional way, using the drailles.</p>",2011,,3.4730555556,44.2202777778,302319.0000,Cultural,France,Europe and North America,fr,fra,0
1358,1181,"Le Havre, the City Rebuilt by Auguste Perret","<p>The city of Le Havre, on the English Channel in Normandy, was severely bombed during the Second World War. The destroyed area was rebuilt according to the plan of a team headed by Auguste Perret, from 1945 to 1964. The site forms the administrative, commercial and cultural centre of Le Havre. Le Havre is exceptional among many reconstructed cities for its unity and integrity. It combines a reflection of the earlier pattern of the town and its extant historic structures with the new ideas of town planning and construction technology. It is an outstanding post-war example of urban planning and architecture based on the unity of methodology and the use of prefabrication, the systematic utilization of a modular grid, and the innovative exploitation of the potential of concrete.</p>",2005,,0.1075000000,49.4927800000,133.0000,Cultural,France,Europe and North America,fr,fra,0
1433,1256,"Bordeaux, Port of the Moon","<p>The Port of the Moon, port city of Bordeaux in south-west France, is inscribed as an inhabited historic city, an outstanding urban and architectural ensemble, created in the age of the Enlightenment, whose values continued up to the first half of the 20th century, with more protected buildings than any other French city except Paris. It is also recognized for its historic role as a place of exchange of cultural values over more than 2,000 years, particularly since the 12th century due to commercial links with Britain and the Low Lands. Urban plans and architectural ensembles of the early 18th century onwards place the city as an outstanding example of innovative classical and neoclassical trends and give it an exceptional urban and architectural unity and coherence. Its urban form represents the success of philosophers who wanted to make towns into melting pots of humanism, universality and culture.</p>",2007,,-0.5722222222,44.8388888889,1731.0000,Cultural,France,Europe and North America,fr,fra,0
1514,1283,Fortifications of Vauban,"<p>Fortifications of Vauban consists of 12 groups of fortified buildings and sites along the western, northern and eastern borders of France. They represent the finest examples of the work of S&eacute;bastien Le Prestre de Vauban (1633-1707), a military engineer of King Louis XIV. The serial property includes towns built from scratch by Vauban, citadels, urban bastion walls and&nbsp;bastion towers. There are also mountain forts, sea forts, a mountain battery and two mountain communication structures. This property is inscribed as bearing witness to the peak of classic fortifications, typical of western military architecture. Vauban also played a major role in the history of fortification in Europe and on other continents until the mid-19th century.</p>",2008,,2.7588888889,50.2825000000,1153.1600,Cultural,France,Europe and North America,fr,fra,0
1604,1317,"Pitons, cirques and remparts of Reunion Island","<p>The Pitons, cirques and remparts of Reunion Island site coincides with the core zone of La R&eacute;union National Park. The property covers more than 100,000 ha or 40 % of La R&eacute;union, an island comprising two adjoining volcanic massifs located in the south-west of the Indian Ocean. Dominated by two towering volcanic peaks, massive walls and three cliff-rimmed cirques, the property includes a great variety of rugged terrain and impressive escarpments, forested gorges and basins creating a visually striking landscape. It is the natural habitat for a wide diversity of plants, presenting a high level of endemism. There are subtropical rainforests, cloud forests and heaths creating a remarkable and visually appealing mosaic of ecosystems and landscape features.</p>",2010,,55.4800000000,-21.0994444444,105838.0000,Natural,France,Europe and North America,fr,fra,0
1663,1337,Episcopal City of Albi,"<p>On the banks of the Tarn river in south-west France, the old city of Albi reflects the culmination of a medieval architectural and urban ensemble. Today the Old Bridge (Pont-Vieux), the Saint-Salvi quarter and its church are testimony to its initial development (10th -11th centuries). Following the Albigensian Crusade against the Cathar heretics (13th century) it became a powerful episcopal city. Built in a unique southern French Gothic style from local brick in characteristic red and orange colours, the lofty fortified Cathedral (late 13th century) dominates the city, demonstrating the power regained by the Roman Catholic clergy. Alongside the Cathedral is the vast bishop&rsquo;s Palais de la Berbie, overlooking the river and surrounded by residential quarters that date back to the Middle Ages. The Episcopal City of Albi forms a coherent and homogeneous ensemble of monuments and quarters that has remained largely unchanged over the centuries.</p>",2010,,2.1425000000,43.9283333333,19.4700,Cultural,France,Europe and North America,fr,fra,0
1776,1360,Nord-Pas de Calais Mining Basin,"<p>Remarkable as a landscape shaped over three centuries of coal extraction from the 1700s to the 1900s, the site consists of 109 separate components over 120,000&nbsp;ha. It features mining pits (the oldest of which dates from 1850) and lift infrastructure, slag heaps (some of which cover 90&nbsp;ha and exceed 140&nbsp;m in height), coal transport infrastructure, railway stations, workers&rsquo; estates and mining villages including social habitat, schools, religious buildings, health and community facilities, company premises, owners and managers&rsquo; houses, town halls and more. The site bears testimony to the quest to create model workers&rsquo; cities from the mid 19th century to the 1960s and further illustrates a significant period in the history of industrial Europe. It documents the living conditions of workers and the solidarity to which it gave rise.</p>",2012,,3.5461111111,50.4625000000,3943.0000,Cultural,France,Europe and North America,fr,fra,0
